index,y,x,rightdis,leftdis,topdis,bottomdis,average4,averagecol,averagerow,pred
73,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
74,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
75,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
76,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
77,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
78,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
79,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
80,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
82,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
83,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
84,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
85,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
86,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
88,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
89,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
90,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
91,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
92,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
93,315.25,246.5,24.0,23.0,23.021728866442675,23.0,23.255432216610668,23.010864433221336,23.5,1
94,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
95,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
96,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
97,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
98,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
99,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
100,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
101,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
102,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
103,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
104,315.25,246.25,24.020824298928627,23.0,24.020824298928627,23.0,23.510412149464315,23.510412149464315,23.510412149464315,1
105,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
106,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
107,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
108,315.25,246.75,25.079872407968907,22.02271554554524,24.020824298928627,23.086792761230395,23.55255125341829,23.55380853007951,23.551293976757076,1
